instance,feature,mean_weight,sd_weight,snr,mean_rank,rank_sd,top8_rate
268,S7,+2.1096,0.2932,7.19,6.74,0.58,1.0000
268,S21,+1.4371,0.3332,4.31,8.59,1.16,0.6400
268,S12,+1.1179,0.3057,3.66,10.20,2.09,0.1800
268,S2,-0.9963,0.3122,3.19,10.99,2.41,0.0500
268,S16,-0.9153,0.3019,3.03,11.72,2.50,0.0600
268,S20,+0.9097,0.2811,3.24,11.74,2.60,0.0500
268,S9,-0.6396,0.2919,2.19,14.25,3.41,0.0000
268,S17,-0.5823,0.3307,1.76,15.19,3.90,0.0000
268,S6,-0.5293,0.2927,1.81,15.63,3.79,0.0100
268,S8,+0.3048,0.3036,1.00,18.60,4.05,0.0000
268,OS2,+0.1084,0.3080,0.35,19.94,3.36,0.0000
268,OS3,-0.0894,0.2608,0.34,20.19,3.05,0.0000
268,S14,+0.0560,0.2990,0.19,20.06,3.52,0.0000
268,S1,-0.0362,0.2902,0.12,20.44,3.22,0.0000
268,S19,+0.0189,0.3385,0.06,19.70,3.48,0.0000
268,S18,+0.0141,0.3057,0.05,20.20,3.58,0.0100
268,OS1,+0.0128,0.3186,0.04,19.91,3.56,0.0000
268,S5,-0.0029,0.3218,0.01,19.77,3.33,0.0000
268,S10,+0.0003,0.3138,0.00,19.79,3.59,0.0000
1086,time,-43.1883,0.4627,93.34,1.00,0.00,1.0000
1086,S15,-16.4804,0.2894,56.95,2.00,0.00,1.0000
1086,S11,-12.3509,0.3317,37.23,3.00,0.00,1.0000
1086,S4,-7.3665,0.3223,22.86,4.00,0.00,1.0000
1086,S13,-5.6787,0.3153,18.01,5.00,0.00,1.0000
1086,S3,-2.3132,0.2654,8.72,6.25,0.44,1.0000
1086,S7,+2.0047,0.3295,6.08,6.85,0.61,0.9800
1086,S21,+1.3705,0.2822,4.86,8.66,1.33,0.6600
1086,S12,+1.0337,0.2636,3.92,10.44,1.83,0.0900
1086,S2,-0.9828,0.2989,3.29,10.99,2.52,0.1100
1086,S20,+0.9662,0.3231,2.99,11.13,2.63,0.0900
1086,S16,-0.8197,0.2596,3.16,12.10,2.46,0.0500
1086,S9,-0.5907,0.2971,1.99,14.75,3.76,0.0000
1086,S17,-0.5528,0.3229,1.71,15.25,3.95,0.0200
1086,S6,-0.5366,0.2583,2.08,15.33,3.64,0.0000
1086,S8,+0.3137,0.2539,1.24,18.59,3.68,0.0000
1086,OS2,+0.1006,0.2737,0.37,20.26,3.38,0.0000
1086,OS3,-0.0684,0.3140,0.22,19.75,3.75,0.0000
1086,S10,+0.0578,0.2995,0.19,20.08,3.61,0.0000
1086,S19,-0.0334,0.3237,0.10,19.67,3.48,0.0000
1086,OS1,-0.0211,0.3202,0.07,19.96,3.49,0.0000
1086,S18,-0.0157,0.2970,0.05,19.92,3.48,0.0000
1086,S5,-0.0086,0.2946,0.03,20.05,3.45,0.0000
1086,S1,+0.0051,0.3100,0.02,20.11,3.52,0.0000
1086,S14,+0.0024,0.3108,0.01,19.86,3.59,0.0000
2986,time,-42.0595,0.4237,99.28,1.00,0.00,1.0000
2986,S15,-16.7717,0.3317,50.56,2.00,0.00,1.0000
2986,S11,-12.1081,0.2914,41.56,3.00,0.00,1.0000
2986,S4,-7.4698,0.3400,21.97,4.00,0.00,1.0000
2986,S13,-4.8485,0.3363,14.42,5.00,0.00,1.0000
2986,S3,-2.3434,0.2907,8.06,6.35,0.58,0.9900
2986,S7,+2.0722,0.3726,5.56,6.88,0.81,0.9700
2986,S21,+1.4236,0.3554,4.01,8.81,1.59,0.6000
2986,S12,+1.0826,0.3224,3.36,10.56,2.49,0.1600
2986,S20,+1.0194,0.3333,3.06,11.06,2.44,0.1100
2986,S2,-1.0079,0.3115,3.24,11.09,2.35,0.0900
2986,S16,-0.9178,0.3222,2.85,11.85,2.73,0.0600
2986,S17,-0.6085,0.2978,2.04,15.03,3.48,0.0100
2986,S6,-0.5265,0.2844,1.85,15.88,3.86,0.0000
2986,S8,+0.5034,0.3150,1.60,16.15,3.65,0.0000
2986,S9,-0.4783,0.3104,1.54,16.62,3.88,0.0000
2986,S14,+0.4340,0.3427,1.27,16.93,4.06,0.0100
2986,OS2,+0.1136,0.2834,0.40,20.62,3.24,0.0000
2986,S18,+0.0715,0.2967,0.24,20.61,3.51,0.0000
2986,OS3,-0.0615,0.2979,0.21,20.46,3.44,0.0000
2986,S1,+0.0589,0.2957,0.20,20.57,3.27,0.0000
2986,OS1,-0.0450,0.3284,0.14,20.04,3.49,0.0000
2986,S19,+0.0354,0.3183,0.11,20.03,3.50,0.0000
2986,S5,-0.0187,0.3563,0.05,19.81,3.69,0.0000
2986,S10,-0.0062,0.3209,0.02,20.65,3.22,0.0000
701,time,-43.5611,0.4451,97.88,1.00,0.00,1.0000
701,S15,-16.5924,0.3182,52.14,2.00,0.00,1.0000
701,S11,-12.3247,0.2907,42.40,3.00,0.00,1.0000
701,S4,-7.0201,0.3306,21.23,4.01,0.10,1.0000
701,S13,-5.9681,0.3204,18.63,4.99,0.10,1.0000
701,S7,+2.2667,0.3278,6.91,6.57,0.70,0.9900
701,S3,-2.1992,0.2947,7.46,6.60,0.62,1.0000
701,S21,+1.5181,0.3485,4.36,8.40,1.06,0.6800
701,S12,+1.1904,0.3132,3.80,9.67,1.77,0.2000
701,S20,+1.0019,0.2917,3.43,10.77,2.03,0.0800
701,S2,-0.8044,0.2770,2.90,12.52,3.18,0.0200
701,S16,-0.7908,0.2831,2.79,12.37,2.85,0.0300
701,S9,-0.6417,0.2766,2.32,14.02,3.31,0.0000
701,S6,-0.4875,0.3196,1.53,15.80,4.15,0.0000
701,S17,-0.4199,0.2913,1.44,16.80,3.93,0.0000
701,S8,+0.2409,0.2692,0.89,18.96,3.63,0.0000
701,S14,+0.1212,0.2807,0.43,19.91,3.48,0.0000
701,OS3,-0.0546,0.3380,0.16,19.60,3.62,0.0000
701,OS1,-0.0512,0.3055,0.17,20.26,3.80,0.0000
701,S18,+0.0429,0.3095,0.14,19.99,3.74,0.0000
701,OS2,+0.0386,0.3022,0.13,19.91,3.58,0.0000
701,S19,+0.0339,0.3056,0.11,19.84,3.44,0.0000
701,S5,+0.0111,0.3324,0.03,19.53,3.69,0.0000
701,S1,-0.0101,0.3621,0.03,18.77,3.75,0.0000
701,S10,+0.0093,0.3533,0.03,19.71,3.81,0.0000
5139,time,-43.1512,0.4228,102.07,1.00,0.00,1.0000
5139,S15,-16.3264,0.3060,53.36,2.00,0.00,1.0000
5139,S11,-12.0206,0.3037,39.58,3.00,0.00,1.0000
5139,S4,-7.4230,0.2890,25.69,4.00,0.00,1.0000
5139,S13,-4.8608,0.3168,15.34,5.00,0.00,1.0000
5139,S3,-2.4451,0.3018,8.10,6.11,0.31,1.0000
5139,S7,+1.9830,0.3403,5.83,7.13,0.85,0.9600
5139,S21,+1.3294,0.3023,4.40,9.11,1.68,0.5000
5139,S2,-1.1304,0.3270,3.46,10.43,2.45,0.2200
5139,S12,+1.0553,0.3493,3.02,11.07,2.98,0.1500
5139,S16,-0.9860,0.3215,3.07,11.49,2.42,0.0900
5139,S20,+0.9652,0.2699,3.58,11.46,2.47,0.0700
5139,S17,-0.7630,0.3071,2.48,13.43,3.12,0.0100
5139,S9,-0.6185,0.2800,2.21,15.08,3.35,0.0000
5139,S6,-0.5769,0.3137,1.84,15.52,3.88,0.0000
5139,S8,+0.3570,0.3226,1.11,17.91,3.75,0.0000
5139,S14,+0.2416,0.3416,0.71,18.71,3.47,0.0000
5139,S18,-0.1216,0.2795,0.43,20.59,3.48,0.0000
5139,S19,-0.0820,0.3403,0.24,19.92,3.77,0.0000
5139,OS2,+0.0761,0.2901,0.26,20.53,3.32,0.0000
5139,S10,-0.0441,0.2776,0.16,20.64,2.89,0.0000
5139,OS1,+0.0373,0.3197,0.12,20.24,3.35,0.0000
5139,OS3,+0.0079,0.3472,0.02,19.89,3.34,0.0000
5139,S5,-0.0051,0.3052,0.02,20.30,3.26,0.0000
5139,S1,-0.0039,0.2855,0.01,20.44,3.45,0.0000
