method,instance,rank,feature,share
WA-LIME B=5,1086,8,S2,0.0200
WA-LIME B=5,1086,8,S12,0.0200
LIME,2986,1,time,1.0000
LIME,2986,2,S15,1.0000
LIME,2986,3,S11,1.0000
LIME,2986,4,S4,1.0000
LIME,2986,5,S13,1.0000
LIME,2986,6,S3,0.6900
LIME,2986,6,S7,0.3100
LIME,2986,7,S7,0.5500
LIME,2986,7,S3,0.2800
LIME,2986,7,S21,0.1200
LIME,2986,7,S20,0.0200
LIME,2986,8,S21,0.4800
LIME,2986,8,S12,0.1500
LIME,2986,8,S7,0.1100
LIME,2986,8,S20,0.0900
LIME,2986,8,S2,0.0800
LIME,2986,8,S16,0.0600
LIME,2986,8,S3,0.0200
WA-LIME B=5,2986,1,time,1.0000
WA-LIME B=5,2986,2,S15,1.0000
WA-LIME B=5,2986,3,S11,1.0000
WA-LIME B=5,2986,4,S4,1.0000
WA-LIME B=5,2986,5,S13,1.0000
WA-LIME B=5,2986,6,S3,0.8600
WA-LIME B=5,2986,6,S7,0.1400
WA-LIME B=5,2986,7,S7,0.8600
WA-LIME B=5,2986,7,S3,0.1400
WA-LIME B=5,2986,8,S21,0.9300
WA-LIME B=5,2986,8,S12,0.0400
LIME,701,1,time,1.0000
LIME,701,2,S15,1.0000
LIME,701,3,S11,1.0000
LIME,701,4,S4,0.9900
LIME,701,5,S13,0.9900
LIME,701,6,S7,0.5200
LIME,701,6,S3,0.4700
LIME,701,7,S3,0.4600
LIME,701,7,S7,0.4100
LIME,701,7,S21,0.0900
LIME,701,7,S12,0.0400
LIME,701,8,S21,0.5800
LIME,701,8,S12,0.1600
LIME,701,8,S20,0.0800
LIME,701,8,S3,0.0700
LIME,701,8,S7,0.0600
LIME,701,8,S16,0.0300
LIME,701,8,S2,0.0200
WA-LIME B=5,701,1,time,1.0000
WA-LIME B=5,701,2,S15,1.0000
WA-LIME B=5,701,3,S11,1.0000
WA-LIME B=5,701,4,S4,1.0000
WA-LIME B=5,701,5,S13,1.0000
WA-LIME B=5,701,6,S7,0.6200
WA-LIME B=5,701,6,S3,0.3800
WA-LIME B=5,701,7,S3,0.6200
WA-LIME B=5,701,7,S7,0.3800
WA-LIME B=5,701,8,S21,0.9200
WA-LIME B=5,701,8,S12,0.0800
LIME,5139,1,time,1.0000
LIME,5139,2,S15,1.0000
LIME,5139,3,S11,1.0000
LIME,5139,4,S4,1.0000
LIME,5139,5,S13,1.0000
LIME,5139,6,S3,0.8900
LIME,5139,6,S7,0.1000
LIME,5139,7,S7,0.7600
LIME,5139,7,S3,0.1100
LIME,5139,7,S21,0.0600
LIME,5139,7,S12,0.0300
LIME,5139,7,S2,0.0200
LIME,5139,8,S21,0.4300
LIME,5139,8,S2,0.2000
LIME,5139,8,S12,0.1200
LIME,5139,8,S7,0.1000
LIME,5139,8,S16,0.0800
LIME,5139,8,S20,0.0600
WA-LIME B=5,5139,1,time,1.0000
WA-LIME B=5,5139,2,S15,1.0000
WA-LIME B=5,5139,3,S11,1.0000
WA-LIME B=5,5139,4,S4,1.0000
WA-LIME B=5,5139,5,S13,1.0000
WA-LIME B=5,5139,6,S3,0.9800
WA-LIME B=5,5139,6,S7,0.0200
WA-LIME B=5,5139,7,S7,0.9800
WA-LIME B=5,5139,7,S3,0.0200
WA-LIME B=5,5139,8,S21,0.8200
WA-LIME B=5,5139,8,S2,0.1300
WA-LIME B=5,5139,8,S16,0.0200
WA-LIME B=5,5139,8,S12,0.0200
